"Match_Id","Date","Team1","Team2","Win1","Win2","FB1","FB2","10 kills 1","10 kills 2"
,19.дек,1883502,1846548,1.332,2.824,1.702,2.022,17533,2.386
,19.дек,1883502,1846548,1.429,2.512,1.692,2.034,1.598,2.165
,19.дек,1883502,1846548,1.396,2.604,1.771,1.944,1.619,2.133
2014665578,19.дек,2537636,2246141,1.465,2.423,,,,
2014824050,19.дек,2246141,2537636,2.337,1.503,,,,
2014919929,19.дек,2537636,2246141,1.428,2.513,,,,
,19.дек,2535294,2538753,1.942,1.772,,,,
,19.дек,2535294,2538753,2.143,1.612,,,,
,19.дек,3,2428289,1.567,2.216,1.783,1.932,1.584,2.188
,19.дек,3,2428289,1.691,2.035,1.838,1.879,1.746,35431
,19.дек,3,2428289,1.723,1.997,1.737,1.981,1.685,2.042
2014948583,19.дек,2552670,1846548,1.964,1.753,1.951,1.764,1.959,1.757
2015053306,19.дек,1846548,2552670,1.626,2.123,1.840,1.878,1.949,1.766
2015172243,19.дек,2552670,1846548,1.947,1.768,1.926,1.789,42187,1.664
,19.дек,2006913,1804536,1.460,2.434,1.846,1.872,1.596,2.168
,19.дек,2006913,1804536,1.411,2.561,1.708,2.014,20821,2.211
2015564443,20.дек,2163,1836806,1.519,2.305,1.726,1.993,1.576,2.202
2015617679,20.дек,1836806,2163,2.623,1.390,1.994,1.725,2.285,19360
2015692611,20.дек,2163,1836806,1.339,2.797,1.797,1.918,1.442,2.477
2015945300,20.дек,111474,15,2.038,1.688,1.885,1.832,1.912,1.803
2016100756,20.дек,15,111474,1.659,2.077,1.751,1.965,1.777,1.938
2016250491,20.дек,15,111474,1.630,2.117,1.799,1.916,1.766,34700
2016383165,20.дек,111474,15,1.972,1.745,1.889,1.827,1.982,1.736
2016482876,20.дек,111474,15,2.041,1.686,2.008,1.714,2.035,1.691
2016818838,20.дек,2578382,2246141,1.936,1.779,,,,
,20.дек,2621843,2537636,1.599,2.164,1.745,1.972,1.622,2.128
,20.дек,2621843,2537636,1.705,2.018,1.759,1.957,1.734,1.983
,20.дек,2621843,2537636,1.579,2.195,1.792,1.923,1.759,1.956
2017283870,20.дек,2621843,2538753,1.460,2.435,,,,
2017374358,20.дек,2538753,2621843,2.408,1.471,,,,
,20.дек,1883502,2006913,1.501,2.343,1.766,1.949,1.616,2.138
,20.дек,1883502,2006913,1.616,2.137,1.813,1.902,30682,1.877
2017613160,20.дек,2578382,2645562,1.651,2.088,,,,
2017681682,20.дек,2645562,2578382,2.175,1.592,,,,
,20.дек,2006913,2537636,1.432,2.503,1.749,1.968,1.577,42037
,20.дек,2006913,2537636,1.444,2.473,1.766,1.949,1.621,41306
,20.дек,2006913,2537636,1.382,2.646,1.725,1.994,1.668,2.065
,20.дек,3,2428289,1.857,1.863,1.761,1.954,1.669,2.063
,20.дек,3,2428289,1.765,1.951,1.812,1.903,1.698,2.026
,20.дек,3,2428289,1.718,2.002,1.752,1.964,29952,1.896
2020006868,,2642171,2578382,1.840,1.877,,,,
2020081041,,2578382,2642171,1.942,1.773,,,,
2020149411,,2642171,2578382,1.884,1.832,,,,
2020095552,,2244697,1884355,1.578,2.197,,,,
2020146971,,1884355,2244697,2.234,1.557,,,,
2020216880,,2244697,1884355,1.580,2.194,,,,
2020134417,,2428289,3,2.827,1.331,1.984,1.734,2.153,1.606
2020191582,,3,2428289,1.314,2.894,1.732,1.986,1.594,2.172
