3904	Esports Champion League 2015 Autumn	Professional League	NA
3905	UGC Dota2 League Season 5 - Prelims	Amateur League	NA
3902	StarLadder | i-League	Premium League	NA
4181	Dota 2 Canada Cup Season 6 Open Qualifiers	Professional League	NA
4049	BoraDota STARS 2	Professional League	NA
3534	The Defense Season 5	Premium League	$78,587
3671	The Frankfurt Major 2015	Premium League	$3,000,000
4044	Tourr Captains Draft League Season #2	Amateur League	NA
3552	joinDOTA League #7	Amateur League	NA
4122	FACEIT League	Amateur League	NA
4002	Australian Dota 2 Premiership	Amateur League	NA
4127	Uprise Champions Cup: Special	Professional League	NA
3798	ESL One at New York Super Week	Premium League	$287,849
3793	Corrupted Cup - Season 5	Amateur League	NA
2985	Esports Champion League 2015 Spring	Premium League	NA
3976	Hitbox EU Championship #4	Professional League	NA
3990	Frankfurt Major 2015 Open Qualifiers	Premium League	NA
4210	Dota Pit League Season Four	Premium League	$115,220
2812	Anzac Dota	Professional League	NA
3747	AD2L Season 9	Amateur League	NA
3877	DOTA2 Radiant &amp; Dire Cup 2015	Premium League	$151,401
3071	Lima Five Peru - Gunners	Professional League	NA
2954	Mountain Trail Challenge	Professional League	NA
4038	joinDOTA League #8	Amateur League	NA
3284	DotA Athletes - Summer Slam	Amateur League	NA
4119	D2CL S7 Christmas Magic	Professional League	$40,112
3781	The Summit 4	Premium League	$114,373
4052	Southamerican Championships by Ttesports	Amateur League	NA
3447	Tourr Captains Draft League Season #1	Amateur League	NA
2793	AD2L Season 7	Amateur League	NA
3502	Nanyang Championships	Premium League	$220,183
